view,case_id,point,cell_id,median_prepared_call_s,raw_mad,count
T,stress_n16_l2,T13,cell-e97ab843be1324734017071ffb89c236660febe79140cbaabfe1ed68c370beb8,2.5919503159821033,0.04635941400192678,5
T,stress_n16_l2,T14,cell-b5c3ab3b30958ad195f455fd5224514baced5d03b712475dbc62961e4c7b77df,2.614021116984077,0.019127234059851617,5
T,stress_n16_l2,T15,cell-48f5442baf8d877be2711f49ce4dc012fdee95012ccc280de420613ddc1a3399,2.65949631400872,0.0018393290229141712,5
T,stress_n16_l2,T16,cell-dc1b21329bc8d23f66b2ee5918017a799dfd22d3ce2dd68b1642027a24bfe90b,2.2439000529702753,0.010100012994371355,5
T,stress_n16_l2,T17,cell-711bb0cef56734486d89270123d5047cfef1bd9b13defc5fe4d099c6f464d895,2.262074987986125,0.019651351030915976,5
T,stress_n16_l2,T18,cell-2b5fdbd97c92fc51ada24f773e4e62fa7f16bd5e12cde7cd82778a6aac9575ca,2.335007616027724,0.01849688997026533,5
T,stress_n16_l2,T19,cell-5c6294b3e2152b147abc7829473311c3400a2df9bfddadeab34786098853f2d4,2.240116033004597,0.04497128096409142,5
T,stress_n16_l2,T20,cell-069fb7dc1d1e4f5b097249e456b30489ef76d1d95ab0476bd9ed6f89ce5760d2,2.2668383690179326,0.017847128037828952,5
T,stress_n16_l2,T21,cell-a1eeb691d153e0a5b6d128e8ed9b3d06645003f0708919b0f6f5246913cd5e07,2.268619653012138,0.01778615202056244,5
T,stress_n16_l2,T22,cell-44422dd983dbaf4f161e3a61760d1ad905530ae29f9b3b33be065846d16efc16,2.3247540530283004,0.059710553963668644,5
T,stress_n16_l2,T23,cell-b41434686b39592e8091a60e31574f53b57f0c886ec33c70aee5c8c9e1f0907a,2.271110672969371,0.004008806950878352,5
T,stress_n16_l2,T24,cell-dca68362b05c641ea75827e69181c3ad852a64e7008c83fe7163a7ab7292ce15,2.286691626999527,0.01765149104176089,5
